trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
sjeng,stride,0.52475,1.0,0.0031,0.0006,0.0011,0.042,0.04,0.3455,0.04748,0.04,0.3455,62103,62299,0.414,8033,0,8033,929,321,570,16
soplex,nopref,0.2775,,,,,,,,,,,6388641,,42.5909,0,0,0,0,0,0,0
soplex,bingo,0.36981,1.3326,0.1837,0.6774,1.1876,0.1007,0.098,0.7631,0.02678,0.098,0.7631,5215162,6388641,34.7677,16823781,0,16823781,2160752,1648946,511638,45379
soplex,ipcp,0.40767,1.4691,0.5373,0.7128,0.4673,0.0353,0.0339,0.1159,0.03855,0.0339,0.1159,2955955,6388641,19.7064,30757766,418933,30338833,8879986,1029528,7847341,41285
soplex,spp_dev2,0.32744,1.18,0.1021,0.2503,0.357,0.0817,0.0722,0.9563,0.11587,0.0722,0.9563,5736660,6388641,38.2444,13290045,13,13290032,1003353,959555,43790,125757
soplex,streamer,0.38985,1.4049,0.4493,0.6278,0.3935,0.1746,0.1645,0.5937,0.05777,0.1645,0.5937,3518014,6388641,23.4534,25780382,43915,25736467,7131628,4234117,2895730,259610
soplex,stride,0.32655,1.1768,0.1798,0.2783,0.0552,0.3759,0.3033,0.8453,0.19309,0.3033,0.8453,5239756,6388641,34.9317,5859171,0,5859171,2102489,1777145,325141,425271
xalancbmk,nopref,0.58077,,,,,,,,,,,472847,,3.1523,0,0,0,0,0,0,0
xalancbmk,bingo,0.57945,0.9977,0.0859,0.0224,4.2351,0.0415,0.0405,0.5701,0.0238,0.0405,0.5701,432218,472847,2.8815,1661931,0,1661931,118073,67317,50570,1641
xalancbmk,ipcp,0.58031,0.9992,0.1748,-0.0662,8.706,0.0068,0.0066,0.0448,0.03217,0.0066,0.0448,390199,472847,2.6013,7483382,0,7483382,1100002,49256,1048364,1637
xalancbmk,spp_dev2,0.58173,1.0017,0.0233,0.0303,0.8592,0.01,0.0095,0.7204,0.05201,0.0095,0.7204,461850,472847,3.079,1669108,1,1669107,22014,15858,6000,870
xalancbmk,streamer,0.58377,1.0052,0.0624,0.0756,0.9987,0.012,0.012,0.3619,0.00389,0.012,0.3619,443354,472847,2.9557,4796308,0,4796308,158427,57342,100640,224
xalancbmk,stride,0.58235,1.0027,0.0297,0.0384,0.0299,0.0156,0.0155,0.9029,0.00207,0.0155,0.9029,458799,472847,3.0587,1363485,0,1363485,23444,21167,2243,44
